t,MAN,MV,MVp,MVi,MVd,MVFF,SP,PV,DV
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.040969075145668654e+01,2.980710409787974058e+01,9.783205150663572880e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.090108339476704913e+01,5.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,6.537060235825063614e+01,-7.621822902267255984e+01,6.084762666442192369e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.096625313901343901e+01,5.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,6.523492298145934853e+01,-7.229304791452209145e+01,5.705812493306274291e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.107022725847557609e+01,5.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+00,4.999999999999999289e+01,6.501845529550817560e+01,-6.843921554954147268e+01,5.342076025403328998e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.119714599666000510e+01,5.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000711e+01,6.475421833249517078e+01,-6.471162675784205476e+01,4.995740842534689108e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.133747009800374173e+01,5.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,6.446207223250230811e+01,-6.113833397663416491e+01,4.667626174413185680e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.148546290940748094e+01,5.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,6.415396035247198370e+01,-5.773153949561221054e+01,4.357757914314022685e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.163767553114022490e+01,5.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,6.383706308833072285e+01,-5.449419074801804186e+01,4.065712765968731901e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.179203543470156745e+01,5.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,6.351569531623107423e+01,-5.142393133495779978e+01,3.790823601872672555e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.194729814593173245e+01,5.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,6.319244795440332751e+01,-4.851546219133937399e+01,3.532301423693604647e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.210271735992213138e+01,5.000000000000000000e+01
1.000000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,6.286887476350842263e+01,-4.576194719835100955e+01,3.289307243484258692e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.225784647156441309e+01,5.000000000000000000e+01
1.100000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,6.254590554775955269e+01,-4.315584480326459982e+01,3.060993925550504358e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.241241916999934602e+01,5.000000000000000000e+01
1.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,6.222409474989438394e+01,-4.068939515176053590e+01,2.846530040186615196e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.256627760046558961e+01,5.000000000000000000e+01
1.300000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,6.190377101376276414e+01,-3.835490075966699663e+01,2.645112974590423249e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.271932914423489791e+01,5.000000000000000000e+01
1.400000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,6.158512716582846025e+01,-3.614488371775932762e+01,2.455975655193087093e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.287152041611341957e+01,5.000000000000000000e+01
1.500000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,6.126827435076319972e+01,-3.405216931636108768e+01,2.278389496559788441e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.302282162058752846e+01,5.000000000000000000e+01
1.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,6.095327460098352645e+01,-3.206992606100432397e+01,2.111665146002079396e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.317321714006464362e+01,5.000000000000000000e+01
1.700000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,6.064016043135123368e+01,-3.019168007115129981e+01,1.955151963980006613e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.332269987254354504e+01,5.000000000000000000e+01
1.800000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,6.032894662779361283e+01,-2.841131464925757300e+01,1.808236802146396016e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.347126782506230569e+01,5.000000000000000000e+01
1.900000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,6.001963733953413538e+01,-2.672306147510709806e+01,1.670342413557296268e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.361892206429443064e+01,5.000000000000000000e+01
2.000000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.971223034582452982e+01,-2.512148727597870845e+01,1.540925693015418041e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.376566548364871068e+01,5.000000000000000000e+01
2.100000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.940671962276665852e+01,-2.360147825831043278e+01,1.419475863554377426e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.391150206160363467e+01,5.000000000000000000e+01
2.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.910309688741435963e+01,-2.215822364690082580e+01,1.305512675948646617e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.405643641558376800e+01,5.000000000000000000e+01
2.300000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.880135252657529321e+01,-2.078719911412831323e+01,1.198584658755302179e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.420047353364338250e+01,5.000000000000000000e+01
2.400000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.850147615542896773e+01,-1.948415054425773718e+01,1.098267438882876945e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.434361861312400066e+01,5.000000000000000000e+01
2.500000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.820345695343178249e+01,-1.824507837645508701e+01,1.004162142302330452e+01,0.000000000000000000e+00,8.229999999999999716e+01,5.448587696367038546e+01,5.000000000000000000e+01
2.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.790728386623174373e+01,-1.706622265038440744e+01,9.158938784152663715e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.462725394896620656e+01,5.000000000000000000e+01
2.700000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.761294572697119776e+01,-1.594404880758369103e+01,8.331103080612493272e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.476775495176416797e+01,5.000000000000000000e+01
2.800000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.732043132909193162e+01,-1.487523426057926912e+01,7.554802931487338391e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.490738535293029798e+01,5.000000000000000000e+01
2.900000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.702972946996368364e+01,-1.385665571809449581e+01,6.826926248130812169e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.504615051891899924e+01,5.000000000000000000e+01
3.000000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.674082897696029448e+01,-1.288537724164174492e+01,6.144548264681449545e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.518405579432012331e+01,5.000000000000000000e+01
3.100000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.645371872297626226e+01,-1.195863900198921925e+01,5.504920279012957884e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.532110649745657582e+01,5.000000000000000000e+01
3.200000000000000000e+01,1.000000000000000000e+00,4.999999999999999289e+01,5.616838763559222514e+01,-1.107384670091040491e+01,4.905459065318178880e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.545730791781709712e+01,5.000000000000000000e+01
3.300000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.588482470241979172e+01,-1.022856162270369218e+01,4.343736920283900460e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.559266531459248739e+01,5.000000000000000000e+01
3.400000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.560301897414898065e+01,-9.420491280305881787e+00,3.817472306156901141e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.572718391587512343e+01,5.000000000000000000e+01
3.500000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.532295956621483413e+01,-8.647480621854628069e+00,3.324521055639793943e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.586086891825716094e+01,5.000000000000000000e+01
3.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.504463565963388305e+01,-7.907503764955729153e+00,2.862868105321846546e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.599372548666811866e+01,5.000000000000000000e+01
3.700000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.476803650134231560e+01,-7.198656227490017656e+00,2.430619726147702053e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.612575875435585004e+01,5.000000000000000000e+01
3.800000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.449315140423560422e+01,-6.519147625434236204e+00,2.025996221198632430e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.625697382295336268e+01,5.000000000000000000e+01
3.900000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.421996974702934580e+01,-5.867294809804020517e+00,1.647325062774674720e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.638737576259696738e+01,5.000000000000000000e+01
4.000000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.394848097401333575e+01,-5.241515416420118534e+00,1.293034442406782780e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.651696961207445469e+01,5.000000000000000000e+01
4.100000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.367867459474304326e+01,-4.640321803732377681e+00,9.616472089893344233e-01,0.000000000000000000e+00,8.229999999999999716e+01,5.664576037899127670e+01,5.000000000000000000e+01
4.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.341054018369363376e+01,-4.062315355391940663e+00,6.517751716983072319e-01,0.000000000000000000e+00,8.229999999999999716e+01,5.677375303994673317e+01,5.000000000000000000e+01
4.300000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.314406737989316554e+01,-3.506181125650071007e+00,3.621137457569055806e-01,0.000000000000000000e+00,8.229999999999999716e+01,5.690095254071598418e+01,5.000000000000000000e+01
4.400000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.287924588654364300e+01,-2.970682806966897793e+00,9.143692042325457514e-02,0.000000000000000000e+00,8.229999999999999716e+01,5.702736379643489073e+01,5.000000000000000000e+01
4.500000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.261606547063622230e+01,-2.454658000449983835e+00,-1.614074701862384664e-01,0.000000000000000000e+00,8.229999999999999716e+01,5.715299169178616268e+01,5.000000000000000000e+01
4.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.235451596256360318e+01,-1.957013770903189398e+00,-3.975021916604137839e-01,0.000000000000000000e+00,8.229999999999999716e+01,5.727784108118591888e+01,5.000000000000000000e+01
4.700000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.209458725573166760e+01,-1.476722469360789436e+00,-6.178647863708781607e-01,0.000000000000000000e+00,8.229999999999999716e+01,5.740191678896983518e+01,5.000000000000000000e+01
4.800000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.183626930617193551e+01,-1.012817807011946680e+00,-8.234514991599887201e-01,0.000000000000000000e+00,8.229999999999999716e+01,5.752522360957880920e+01,5.000000000000000000e+01
4.900000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.157955213215497992e+01,-5.643911653864595035e-01,-1.015160966768520412e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.764776630774367305e+01,5.000000000000000000e+01
5.000000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.132442581380591662e+01,-1.305881285849821438e-01,-1.193837685220934475e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.776954961866908178e+01,5.000000000000000000e+01
5.100000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.107088049272151409e+01,2.893947758101453882e-01,-1.360275268531659476e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.789057824821626497e+01,5.000000000000000000e+01
5.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.081890637158975466e+01,6.963131397009287848e-01,-1.515219511290683441e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.801085687308474093e+01,5.000000000000000000e+01
5.300000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.056849371381149183e+01,1.090877553120275900e+00,-1.659371266931767730e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.813039014099302193e+01,5.000000000000000000e+01
5.400000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.031963284312424634e+01,1.473756309651851559e+00,-1.793389152776097895e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.824918267085813994e+01,5.000000000000000000e+01
5.500000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,5.007231414322843932e+01,1.845577949047756627e+00,-1.917892092276195948e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.836723905297406390e+01,5.000000000000000000e+01
5.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,4.982652805741592061e+01,2.206933646842077934e+00,-2.033461704257998548e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.848456384918916484e+01,5.000000000000000000e+01
5.700000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,4.958226508820055045e+01,2.558379460168954900e+00,-2.140644548369505351e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.860116159308237371e+01,5.000000000000000000e+01
5.800000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,4.933951579695137468e+01,2.900438438437832112e+00,-2.239954235389206794e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.871703679013841537e+01,5.000000000000000000e+01
5.900000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,4.909827080352787476e+01,3.233602607000304552e+00,-2.331873410528179313e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.883219391792189157e+01,5.000000000000000000e+01
6.000000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,4.885852078591748437e+01,3.558334831451532843e+00,-2.416855617369017217e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.894663742625031233e+01,5.000000000000000000e+01
6.100000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,4.862025647987535848e+01,3.875070569750052485e+00,-2.495327049625410964e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.906037173736600465e+01,5.000000000000000000e+01
6.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,4.838346867856649425e+01,4.184219518907029922e+00,-2.567688197473524614e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.917340124610704066e+01,5.000000000000000000e+01
6.300000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,4.814814823220984863e+01,4.486167162590570356e+00,-2.634315394800418542e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.928573032007702892e+01,5.000000000000000000e+01
6.400000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,4.791428604772482913e+01,4.781276225607493657e+00,-2.695562273332322789e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.939736329981389673e+01,5.000000000000000000e+01
6.500000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,4.768187308837994465e+01,5.069888040867297718e+00,-2.751761129247242810e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.950830449895756402e+01,5.000000000000000000e+01
6.600000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,4.745090037344367317e+01,5.352323834094987909e+00,-2.803224207538661084e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.961855820441672194e+01,5.000000000000000000e+01
6.700000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,4.722135897783726932e+01,5.628885931243456042e+00,-2.850244909080725364e+00,0.000000000000000000e+00,8.229999999999999716e+01,5.972812867653443192e+01,5.000000000000000000e+01
