t,MAN,MV,MVp,MVi,MVd,MVFF,SP,PV,DV
0.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.196281062380350591e+01,2.691920175780567348e+01,1.111798761839082061e+01,0.000000000000000000e+00,8.729999999999999716e+01,8.181000000000000227e+01,5.000000000000000000e+01
1.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.309590015465556156e+01,2.551820330810353710e+01,1.138589653724090134e+01,0.000000000000000000e+00,8.729999999999999716e+01,8.129000000000000625e+01,5.000000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.407645840250831348e+01,2.443041548292421794e+01,1.149312611456746502e+01,0.000000000000000000e+00,8.729999999999999716e+01,8.084000000000000341e+01,5.000000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.477374426764806259e+01,2.389674014311526307e+01,1.132951558923667434e+01,0.000000000000000000e+00,8.729999999999999716e+01,8.051999999999999602e+01,5.000000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.547103013278777794e+01,2.335151050055312894e+01,1.117745936665909667e+01,0.000000000000000000e+00,8.729999999999999716e+01,8.020000000000000284e+01,5.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.619010618121312106e+01,2.275350100224626715e+01,1.105639281654060646e+01,0.000000000000000000e+00,8.729999999999999716e+01,7.987000000000000455e+01,5.000000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.688739204635287194e+01,2.218898321671066043e+01,1.092362473693646585e+01,0.000000000000000000e+00,8.729999999999999716e+01,7.954999999999999716e+01,5.000000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.758467791149258730e+01,2.161508924596569159e+01,1.080023284254171934e+01,0.000000000000000000e+00,8.729999999999999716e+01,7.923000000000000398e+01,5.000000000000000000e+01
8.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.821659322677548332e+01,2.115860582407331947e+01,1.062480094915119544e+01,0.000000000000000000e+00,8.729999999999999716e+01,7.893999999999999773e+01,5.000000000000000000e+01
9.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+01,1.849986560948848791e+01,2.136239769485140982e+01,1.013773669566010227e+01,0.000000000000000000e+00,8.729999999999999716e+01,7.881000000000000227e+01,5.000000000000000000e+01
1.000000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.900103982505767775e+01,2.111137744009143802e+01,9.887582734850884236e+00,0.000000000000000000e+00,8.729999999999999716e+01,7.857999999999999829e+01,5.000000000000000000e+01
1.100000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.963295514034054179e+01,2.059044195662963261e+01,9.776602903029825598e+00,0.000000000000000000e+00,8.729999999999999716e+01,7.829000000000000625e+01,5.000000000000000000e+01
1.200000000000000000e+01,1.000000000000000000e+00,5.000000000000000000e+01,1.989443733976795059e+01,2.077637494748789493e+01,9.329187712744154481e+00,0.000000000000000000e+00,8.729999999999999716e+01,7.817000000000000171e+01,5.000000000000000000e+01
